time,C1,TOCO,all_non_zero
2017-07-25 22:01:40.445,159,2,True
2017-07-25 22:01:40.445,159,2,True
2017-07-25 22:01:40.445,159,2,True
2017-07-25 22:01:40.445,159,1,True
2017-07-25 22:01:40.445,159,2,True
2017-07-25 22:01:40.445,159,2,True
2017-07-25 22:01:40.445,159,2,True
2017-07-25 22:01:41.461,159,2,True
2017-07-25 22:01:41.461,159,2,True
2017-07-25 22:01:41.461,159,2,True
2017-07-25 22:01:41.461,159,2,True
2017-07-25 22:01:41.461,159,2,True
2017-07-25 22:01:41.461,159,2,True
2017-07-25 22:01:41.461,159,2,True
2017-07-25 22:01:41.461,159,2,True
2017-07-25 22:01:42.449,159,2,True
2017-07-25 22:01:42.449,159,3,True
2017-07-25 22:01:42.449,159,3,True
2017-07-25 22:01:42.449,159,3,True
2017-07-25 22:01:42.449,159,2,True
2017-07-25 22:01:42.449,159,3,True
2017-07-25 22:01:42.449,159,3,True
2017-07-25 22:01:42.449,159,3,True
2017-07-25 22:01:43.458,159,3,True
2017-07-25 22:01:43.458,159,3,True
2017-07-25 22:01:43.458,159,3,True
2017-07-25 22:01:43.458,158,3,True
2017-07-25 22:01:43.458,159,3,True
2017-07-25 22:01:43.458,159,3,True
2017-07-25 22:01:43.458,159,3,True
2017-07-25 22:01:43.458,158,3,True
2017-07-25 22:01:44.444,158,3,True
2017-07-25 22:01:44.444,158,3,True
2017-07-25 22:01:44.444,158,3,True
2017-07-25 22:01:44.444,157,2,True
2017-07-25 22:01:44.444,158,3,True
2017-07-25 22:01:44.444,158,3,True
2017-07-25 22:01:44.444,158,3,True
2017-07-25 22:01:44.444,157,2,True
2017-07-25 22:01:45.456,157,2,True
2017-07-25 22:01:45.456,157,2,True
2017-07-25 22:01:45.456,157,2,True
2017-07-25 22:01:45.456,157,2,True
2017-07-25 22:01:45.456,157,2,True
2017-07-25 22:01:45.456,157,2,True
2017-07-25 22:01:45.456,157,2,True
2017-07-25 22:01:45.456,157,2,True
2017-07-25 22:01:46.458,158,2,True
2017-07-25 22:01:46.458,159,2,True
2017-07-25 22:01:46.458,159,2,True
2017-07-25 22:01:46.458,160,2,True
2017-07-25 22:01:46.458,158,2,True
2017-07-25 22:01:46.458,159,2,True
2017-07-25 22:01:46.458,159,2,True
2017-07-25 22:01:46.458,160,2,True
2017-07-25 22:01:47.457,161,2,True
2017-07-25 22:01:47.457,161,2,True
2017-07-25 22:01:47.457,161,2,True
2017-07-25 22:01:47.457,161,2,True
2017-07-25 22:01:47.457,161,2,True
2017-07-25 22:01:47.457,161,2,True
